2025-05-05 15:03:15 EEST LOG:  database system was shut down at 2025-05-05 14:39:07 EEST
2025-05-05 15:08:15 EEST LOG:  checkpoint starting: time
2025-05-05 15:08:15 EEST LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.003 s, sync=0.004 s, total=0.026 s; sync files=2, longest=0.003 s, average=0.002 s; distance=0 kB, estimate=0 kB; lsn=0/1BD82D8, redo lsn=0/1BD8280
2025-05-05 20:17:04 EEST LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2025-05-05 20:17:04 EEST LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2025-05-05 20:17:04 EEST LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2025-05-05 20:35:36 EEST LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2025-05-05 20:35:36 EEST LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2025-05-05 23:52:49 EEST ERROR:  canceling statement due to user request
2025-05-05 23:52:49 EEST LOG:  shutting down
2025-05-05 23:52:49 EEST LOG:  checkpoint starting: shutdown immediate
2025-05-05 23:52:49 EEST LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.001 s, total=0.027 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=0 kB; lsn=0/1BD8388, redo lsn=0/1BD8388
